OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,BuyBaseAssetVolume,BuyQuoteAssetVolume,Ignore,RSI,MACD,MACDSign,MACDHist,Change
1503662400000,4361.27,4361.27,4261.13,4312,131.799627,1503669599999,569051.40451112,2079,12.401252,53634.90262695,13153.0716248,59.47,62.27,62.68,-0.41,-49.27
1503669600000,4303.82,4422.29,4291.52,4394.36,32.407029,1503676799999,141153.60318381,328,11.529179,50059.18372225,12894.4937338,65.21,65.82,64.77,1.05,82.36
1503676800000,4394.36,4453.91,4372.29,4402.32,33.678724,1503683999999,148428.55101522,342,5.326345,23486.03280168,12993.32288027,65.71,68.47,67.23,1.23,7.96
1503684000000,4409.44,4449.44,4284.11,4307.17,18.720606,1503691199999,81902.95612148,176,2.835706,12364.73166145,12990.22702346,55.36,62.64,64.17,-1.53,-95.15
1503691200000,4326,4336.13,4247.48,4288.99,21.133175,1503698399999,90681.48165159,254,4.839591,20868.41693607,12976.13813188,53.62,55.99,58.72,-2.73,-18.18
1503698400000,4288.99,4365,4280.68,4280.68,18.82645,1503705599999,81133.87204675,245,0.435506,1890.38617307,12945.43630782,52.81,49.51,52.58,-3.07,-8.31
1503705600000,4280.71,4315,4274.33,4284,9.457918,1503712799999,40585.23840855,108,1.449502,6246.1682042,12831.38224417,53.11,44.11,46.93,-2.82,3.32
1503712800000,4284,4305.75,4228.99,4297.94,32.18065,1503719999999,137635.31003842,317,4.241344,18198.75674211,12681.75318225,54.45,40.41,42.58,-2.17,13.94
1503720000000,4297.94,4319.67,4252.44,4295.75,17.397237,1503727199999,74604.9737723,146,4.579816,19685.93061869,12299.45539623,54.19,36.88,38.78,-1.9,-2.19
1503727200000,4307.72,4319.7,4280.81,4319.7,11.310051,1503734399999,48648.58180296,118,2.861142,12331.8307667,11974.76368105,56.65,35.49,36.59,-1.1,23.95
1503734400000,4319.7,4319.7,4260.88,4274.84,16.337474,1503741599999,70193.13398733,99,3.493343,15054.95063384,11882.13911063,51.12,30.63,32.62,-1.99,-44.86
1503741600000,4289.12,4317.99,4287.79,4288.72,19.815607,1503748799999,85225.7291804,143,3.157074,13608.50382456,12129.01065926,52.66,27.51,29.21,-1.7,13.88
1503748800000,4288.72,4306.74,4221.14,4261.89,25.125092,1503755999999,107146.68745081,233,7.178251,30696.07122854,11939.45527619,49.42,22.73,24.89,-2.16,-26.83
